node,NoT,NoR,Node_degree,sent_gas,received_gas,total_gas
0,63.0,14.0,77.0,1464148.0,294000.0,1758148.0
1,0.0,1.0,1.0,0.0,21000.0,21000.0
2,1.0,0.0,1.0,35065.0,0.0,35065.0
3,0.0,16.0,16.0,0.0,441040.0,441040.0
4,1.0,0.0,1.0,128629.0,0.0,128629.0
5,0.0,424.0,424.0,0.0,66796831.0,66796831.0
6,1.0,0.0,1.0,21000.0,0.0,21000.0
7,0.0,1.0,1.0,0.0,21000.0,21000.0
8,214.0,0.0,214.0,4664115.0,0.0,4664115.0
9,0.0,1.0,1.0,0.0,21000.0,21000.0
10,1.0,0.0,1.0,41980.0,0.0,41980.0
11,0.0,1.0,1.0,0.0,41980.0,41980.0
12,2.0,0.0,2.0,90160.0,0.0,90160.0
13,0.0,1.0,1.0,0.0,21000.0,21000.0
14,1.0,0.0,1.0,21000.0,0.0,21000.0
15,18.0,46.0,64.0,430893.0,966000.0,1396893.0
16,1.0,0.0,1.0,21000.0,0.0,21000.0
17,0.0,1.0,1.0,0.0,21000.0,21000.0
18,1.0,0.0,1.0,31097.0,0.0,31097.0
19,0.0,2297.0,2297.0,0.0,89771110.0,89771110.0
20,48.0,6.0,54.0,1110126.0,126000.0,1236126.0
21,0.0,1.0,1.0,0.0,21000.0,21000.0
22,19.0,0.0,19.0,399000.0,0.0,399000.0
23,0.0,1.0,1.0,0.0,21000.0,21000.0
24,1.0,0.0,1.0,64586.0,0.0,64586.0
25,0.0,1.0,1.0,0.0,64586.0,64586.0
26,1454.0,0.0,1454.0,31454188.0,0.0,31454188.0
27,0.0,1.0,1.0,0.0,21000.0,21000.0
28,1.0,0.0,1.0,46109.0,0.0,46109.0
29,380.0,16.0,396.0,8595089.0,336000.0,8931089.0
30,0.0,1.0,1.0,0.0,21000.0,21000.0
31,1.0,0.0,1.0,21000.0,0.0,21000.0
32,11.0,7.0,18.0,231000.0,147000.0,378000.0
33,1.0,0.0,1.0,184012.0,0.0,184012.0
34,0.0,3107.0,3107.0,0.0,515231934.0,515231934.0
35,1.0,0.0,1.0,21000.0,0.0,21000.0
36,0.0,1.0,1.0,0.0,21000.0,21000.0
37,1.0,0.0,1.0,91441.0,0.0,91441.0
38,0.0,9.0,9.0,0.0,1004456.0,1004456.0
39,1.0,0.0,1.0,128733.0,0.0,128733.0
40,0.0,95.0,95.0,0.0,17074855.0,17074855.0
41,1.0,0.0,1.0,21000.0,0.0,21000.0
42,3.0,1587.0,1590.0,63000.0,33327000.0,33390000.0
43,1.0,0.0,1.0,77988.0,0.0,77988.0
44,0.0,1.0,1.0,0.0,77988.0,77988.0
45,146.0,0.0,146.0,3066000.0,0.0,3066000.0
46,0.0,1.0,1.0,0.0,21000.0,21000.0
47,1.0,0.0,1.0,28301.0,0.0,28301.0
48,0.0,1.0,1.0,0.0,28301.0,28301.0
49,1.0,0.0,1.0,21000.0,0.0,21000.0
50,0.0,1.0,1.0,0.0,21000.0,21000.0
51,1.0,1.0,2.0,21000.0,21000.0,42000.0
52,0.0,1.0,1.0,0.0,21000.0,21000.0
53,2.0,0.0,2.0,373373.0,0.0,373373.0
54,0.0,22.0,22.0,0.0,5606170.0,5606170.0
55,1.0,0.0,1.0,214927.0,0.0,214927.0
56,1.0,0.0,1.0,21000.0,0.0,21000.0
57,4.0,7.0,11.0,84000.0,147000.0,231000.0
58,2.0,0.0,2.0,221895.0,0.0,221895.0
59,0.0,1.0,1.0,0.0,21000.0,21000.0
60,13.0,0.0,13.0,273000.0,0.0,273000.0
61,0.0,1.0,1.0,0.0,21000.0,21000.0
62,1.0,0.0,1.0,99099.0,0.0,99099.0
63,242.0,1.0,243.0,5100490.0,21000.0,5121490.0
64,0.0,1.0,1.0,0.0,21000.0,21000.0
65,1.0,0.0,1.0,141875.0,0.0,141875.0
66,3.0,0.0,3.0,214192.0,0.0,214192.0
67,0.0,6.0,6.0,0.0,300335.0,300335.0
68,1.0,0.0,1.0,21000.0,0.0,21000.0
69,7.0,4.0,11.0,147000.0,84000.0,231000.0
70,0.0,1.0,1.0,0.0,21000.0,21000.0
71,1.0,0.0,1.0,21000.0,0.0,21000.0
72,0.0,1.0,1.0,0.0,21000.0,21000.0
73,1.0,0.0,1.0,115128.0,0.0,115128.0
74,0.0,26.0,26.0,0.0,2451027.0,2451027.0
75,1.0,0.0,1.0,21000.0,0.0,21000.0
76,1.0,6.0,7.0,23083.0,126000.0,149083.0
77,1.0,0.0,1.0,92206.0,0.0,92206.0
78,0.0,181.0,181.0,0.0,25192217.0,25192217.0
79,1.0,0.0,1.0,21000.0,0.0,21000.0
80,1.0,0.0,1.0,109110.0,0.0,109110.0
81,1.0,0.0,1.0,115836.0,0.0,115836.0
82,0.0,2.0,2.0,0.0,241254.0,241254.0
83,1.0,0.0,1.0,31109.0,0.0,31109.0
84,1.0,0.0,1.0,21000.0,0.0,21000.0
85,1.0,0.0,1.0,88573.0,0.0,88573.0
86,0.0,81.0,81.0,0.0,7091277.0,7091277.0
87,1.0,0.0,1.0,21000.0,0.0,21000.0
88,0.0,1.0,1.0,0.0,21000.0,21000.0
89,1.0,0.0,1.0,31097.0,0.0,31097.0
90,1.0,0.0,1.0,33513.0,0.0,33513.0
91,0.0,567.0,567.0,0.0,25306656.0,25306656.0
92,2.0,0.0,2.0,131589.0,0.0,131589.0
93,0.0,2.0,2.0,0.0,271330.0,271330.0
94,10.0,0.0,10.0,1495541.0,0.0,1495541.0
95,0.0,155.0,155.0,0.0,22344874.0,22344874.0
96,1.0,0.0,1.0,21000.0,0.0,21000.0
97,0.0,2.0,2.0,0.0,42000.0,42000.0
98,0.0,1.0,1.0,0.0,21000.0,21000.0
99,8.0,5.0,13.0,168000.0,105000.0,273000.0
100,1.0,1.0,2.0,21000.0,21000.0,42000.0
101,1.0,0.0,1.0,21000.0,0.0,21000.0
